Incoming,Frequencey,January,Feburary,March,April,May,June,July,August,September,October,November,December,
Income 1,Monthly,"$1,682.56 ","$1,199.57 ","$1,240.94 ","$1,283.35 ","$1,285.69 ","$1,284.64 ",,,,,,,
Income 2,Monthly,$385.00 ,$297.00 ,,,,,,,,,,,
Others (Interest + Other income),Randomly,"$3,618.00 ",,,$38.00 ,,,,,,,,,
,,,,,,,,,,,,,,
Outgoing,,,,,,,,,,,,,,
HOA Fees,Monthly,$357.50 ,$357.50 ,$357.50 ,$357.50 ,,,,,,,,,
Electricity,Monthly,$122.51 ,$120.75 ,$136.90 ,$161.90 ,,,,,,,,,
Gas,Monthly,$205.84 ,$272.54 ,$213.41 ,$102.96 ,,,,,,,,,
Internet,Monthly,$25.95 ,$25.95 ,$4.62 ,,,,,,,,,,
Phone Landline,Monthly,$52.21 ,$52.21 ,$52.18 ,,,,,,,,,,
Water,Quarterly,,,$249.73 ,$24.19 ,,,,,,,,,
Discover & Citi Credit Card,Monthly,$112.23 ,"$2,985.62 ",$63.75 ,$14.96 ,"$1,709.01 ",$405.71 ,,,,,,,
Cash Expenses / Family + Medical,Randomly,,$341.00 ,,,,"$1,026.55 ",,,,,,,
House Cleaning Services,Randomly,$170.00 ,,,,,,,,,,,,
Donations,,"$1,111.00 ",,,,$312.46 ,$98.96 ,,,,,,,
